"cod_municipio","volume_agua_produzido","agua_consumida","populacao_total","Estado.x","agua_consumida_por_habitante"
230370,21273.91,9829.76,353932,"CE",0.277730185459354
230380,1075.19,553.11,25013,"CE",0.221129012913285
230393,187.9,128.7,13294,"CE",0.0968105912441703
230395,4185,72.51,19192,"CE",0.0377813672363485
230400,4148,44.03,22889,"CE",0.0192363143868234
230410,2298.3,1529.76,74271,"CE",0.205970028678758
230420,9097.72,7007.76,128680,"CE",0.544588125582841
230423,1842,0,17728,"CE",0
230426,1790,190.25,9444,"CE",0.201450656501482
230427,170.6,130.6,7104,"CE",0.18384009009009
230430,2930,270.02,18861,"CE",0.1431631408727
230435,5353,662.13,23544,"CE",0.281230886850153
230450,3592,598.72,13541,"CE",0.442153459862639
230460,1356,199.51,6763,"CE",0.295002217950614
230465,2371,161.33,15294,"CE",0.105485811429319
230480,687,97.41,4494,"CE",0.21675567423231
230490,3037,35.22,10847,"CE",0.0324698073199963
230500,5532,610.23,39151,"CE",0.155865750555541
230510,80.53,67.2,3720,"CE",0.180645161290323
230520,359.39,327.61,20055,"CE",0.163355771628023
230523,19112,3930.93,63365,"CE",0.620362976406533
230526,NA,NA,13188,"CE",NA
230530,4121,642.89,24649,"CE",0.260817883078421
230533,436.23,330.85,12130,"CE",0.27275350370981
230535,2147,0,19418,"CE",0
230540,12881,3478,67198,"CE",0.517574927825233
230550,27964,6307.65,101386,"CE",0.622142110350541
230560,404.68,341.16,25957,"CE",0.131432754170359
230565,NA,NA,11499,"CE",NA
230570,2597,0,12305,"CE",0
230580,NA,NA,41391,"CE",NA
230590,NA,NA,38022,"CE",NA
230600,3857,53.07,14071,"CE",0.0377158695188686
230610,3088,190.99,23543,"CE",0.081123900947203
230620,1295,178.14,7656,"CE",0.232680250783699
230630,1555.2,1404.49,51113,"CE",0.274781366775576
230640,22188,3441.25,124950,"CE",0.275410164065626
230650,3649,662.83,19724,"CE",0.336052524842831
230660,664,0,20285,"CE",0
230670,3504,259.83,17997,"CE",0.144374062343724
230680,618.5,295.2,11102,"CE",0.26589803638984
230690,9850,2301.74,34561,"CE",0.66599346083736
230700,1180.98,818.29,33469,"CE",0.244491917894171
230710,NA,NA,27072,"CE",NA
230720,1435,0,7807,"CE",0
230730,84123,0,266022,"CE",0
230740,1514,914,24479,"CE",0.373381265574574
230750,1086.53,679.93,31383,"CE",0.216655514131855
230760,5280.04,4593.96,58175,"CE",0.789679415556511
230763,NA,NA,19425,"CE",NA
230770,4629.36,3124.8,123570,"CE",0.252876911871814
230800,7505,1372,37560,"CE",0.365282215122471
230810,5771,0,46113,"CE",0
230820,175.13,123.99,14674,"CE",0.0844963881695516
230830,453.5,309.68,28354,"CE",0.109219157790788
230835,NA,NA,13170,"CE",NA
230837,298.89,204.68,13428,"CE",0.152427762883527
230840,1049.05,576.93,35240,"CE",0.163714528944381
230850,6643,934.08,43619,"CE",0.214145211948921
230860,335.21,278.34,17012,"CE",0.163613919586174
230870,2960,2487,61903,"CE",0.401757588485211
230900,413.74,248.48,14357,"CE",0.173072368879292
230910,1294,103.53,12526,"CE",0.0826520836659748
230920,3958,0,15181,"CE",0
230930,NA,NA,31870,"CE",NA
230940,5225,680.77,28220,"CE",0.241236711552091
230945,2872,273.4,25123,"CE",0.108824583051387
230950,831.53,654.69,21394,"CE",0.306015705337945
230960,1631.1,1627.9,68800,"CE",0.236613372093023
230980,82.21,72.21,11910,"CE",0.0606297229219143
230990,202.52,150.94,6168,"CE",0.244714656290532
231000,2208,346.7,9209,"CE",0.376479530893691
231010,84.23,81.22,12895,"CE",0.0629856533540132
231030,4799,479.8,31293,"CE",0.153325024765922
231040,2228,255.52,11549,"CE",0.221248592951771
231050,4677,706,42746,"CE",0.165161652552286
231060,462.52,264.33,8817,"CE",0.299795848928207
231070,8136,1139.16,36773,"CE",0.309781633263536
231080,226.32,201.01,16115,"CE",0.124734719205709
231090,2634,248.62,16461,"CE",0.151035781544256
231095,210.86,89.8,10674,"CE",0.08412966085816
231100,2730,0,12224,"CE",0
231110,412.64,231.71,15010,"CE",0.154370419720187
231120,1971,258.55,10790,"CE",0.239620018535681
231123,126.16,86.88,6318,"CE",0.137511870845204
231126,2151,213.75,20690,"CE",0.103310778153697
231130,18198,3768.43,85351,"CE",0.441521481880704
231135,2238,370,14949,"CE",0.247508194528062
231140,17669,2009.09,77174,"CE",0.260332495400005
231150,2696,380.93,21572,"CE",0.176585388466531
231160,939.65,690.42,27272,"CE",0.253160750953359
231170,469.83,291.92,19015,"CE",0.15352090454904
231180,2697.52,1951.7,75018,"CE",0.260164227252126
231190,2134,330.8,15753,"CE",0.209991747603631
231195,6.01,0,16161,"CE",0
231200,565.85,431.14,31596,"CE",0.136453981516648
231210,2101,31.5,17468,"CE",0.018032974582093
231220,8209,1094.87,43359,"CE",0.252512742452547
231230,8450,789.15,46171,"CE",0.170918975114249
231250,NA,NA,7721,"CE",NA
231270,926.51,450.84,26547,"CE",0.169827099107244
231290,60137,576.4,201756,"CE",0.0285691627510458
231300,3512,402.45,18094,"CE",0.222421797280867
231310,1749.45,948.42,30263,"CE",0.313392591613522
231320,467.9,363.28,25597,"CE",0.141922881587686
231325,1021,0,8899,"CE",0
231330,10851,1533.51,57701,"CE",0.26576835756746
231335,156.47,115.19,18510,"CE",0.0622312263641275
231340,19547,3834.04,73468,"CE",0.521865301900147
231360,5878,976.52,33792,"CE",0.288979640151515
231370,1117,17.5,7665,"CE",0.0228310502283105
231375,4019,633.64,19521,"CE",0.324594026945341
231380,1149.51,544.81,21206,"CE",0.256913137791191
231395,4745,442.18,18136,"CE",0.243813409792678
231400,8987,60.4,40062,"CE",0.0150766312216065
240010,3201,317.03,11344,"RN",0.279469322990127
240020,12361,3734.17,57292,"RN",0.651778607833554
240030,1413,0,11202,"RN",0
240040,708,111.68,3210,"RN",0.34791277258567
240050,526.04,526.04,13852,"RN",0.37975743574935
240060,1104,224.93,4899,"RN",0.459134517248418
240070,2895,996.66,13915,"RN",0.716248652533237
240080,821.06,505.1,11907,"RN",0.424204249601075
240090,NA,0,7205,"RN",0
240100,6850,0,36189,"RN",0
240110,6976,0,27356,"RN",0
240130,1803,267.93,9716,"RN",0.275761630300535
240145,1130.87,708.77,27238,"RN",0.260213672075777
240150,922,390.34,4066,"RN",0.960009837678308
240160,598,0,5458,"RN",0
240165,507,143.81,2358,"RN",0.609881255301103
240170,1445.29,411.99,10114,"RN",0.407346252719003
240180,737,824.44,12509,"RN",0.659077464225758
