"diferenca.tempo","feeling.aleatoriedade","sd.regioes"
83,7,1.5
59,5,17.480942003603
76,3,13.4412301024373
45,4,10.9962114688045
66,7,0
159,8,9.89949493661167
87,7,0.957427107756338
155,2,0.957427107756338
78,4,10.8781125813871
114,10,6.68331255192114
77,6,21.3931453196267
112,10,22.553639765383
122,10,5.97215762238964
148,8,7.13559154286922
59,10,5.31507290636732
61,7,3.3166247903554
96,7,0
224,6,12.9711217710728
82,7,13.0384048104053
152,7,8.9628864398325
73,7,8.28653526310404
105,8,5.05799696849784
120,0,10
77,4,7.27438428093173
99,4,10.3400515794974
112,8,17.7012240631357
166,2,19.9394918022836
81,8,30.2696217353306
127,7,2.94392028877595
103,8,14.9303940559741
175,2,12.2576506721313
301,2,6.05530070819498
78,5,5.09901951359278
76,8,10.0124921972504
185,8,8.71779788708135
62,10,19.0153446808974
42,2,4.24264068711928
76,6,13.3291660154215
98,6,18.7149672722129
115,10,31.6478013980961
106,10,17.6139149538085
294,10,9.67815409397198
137,6,5.47722557505166
134,3,15.088627063675
63,5,3.5
50,3,3.36650164612069
121,4,46.1185067696979
65,6,24.1712639305436
68,0,4.57347424467075
60,3,6.07590871118606
115,7,22.618208004467
129,5,3.16227766016838
134,8,11.7898261225516
60,7,20.7424685126915
464,0,34.3838624939084
84,5,6.05530070819498
59,5,5.5
97,3,20.4348558432237
73,8,8.40634680861233
72,7,5.71547606649408
96,4,4.50924975282289
101,10,8.81286937760152
87,10,19.9833263830958
76,10,13.5277492584687
62,4,28.6400069832394
107,10,9.05538513813742
315,8,29.7139136881473
66,10,2.94392028877595
169,9,10.6770782520313
94,2,7.87400787401181
92,10,15.0416089564913
146,0,5.44671154612273
209,6,12.0933866224478
72,0,15.98697386416
94,9,1
120,7,14.3643076176102
222,9,2.62995563967658
325,7,14.8772757362809
124,6,3.69684550213647
60,8,14.9777612924406
310,3,5.74456264653803
87,10,4.96655480858378
194,10,0
145,10,20.704266871026
102,6,13.7719521734091
118,5,9.76387901058454
152,10,10.6770782520313
50,1,8.04155872120988
142,5,0
242,8,35.4906090865363
119,9,21.2994522621279
67,6,17.0293863659264
75,8,3.55902608401044
80,10,11.5758369027902
129,10,9.8488578017961
106,7,12.2304265393049
87,10,20.597329924046
65,7,29.9708191412914
73,1,29.7587522139846
229,5,16.583123951777
58,9,8.67947771086102
131,9,18.6189867250253
193,8,16.6408132814075
107,9,13.735598518691
120,10,12.4733048280451
119,10,9.06917857360853
75,8,7.7028133388609
96,6,10.5948100502085
301,8,6.13052471924984
81,5,13.1402688962847
412,6,4.92442890089805
57,10,1.4142135623731
79,2,9.67815409397198
153,9,26.787745954696
